"scenario","region","year","age","sex","cardio_deaths","allcause_deaths","pop","n_countries","cardio_mortality_rate","cardio_mortality_rate_100k","allcause_mortality_rate","allcause_mortality_rate_100k","cardio_share"
"SSP5","East Asia & Pacific",2080,"55-59","Female",3114.52346178856,22977.4974453325,50348400,20,6.18594327086573e-05,6.18594327086573,0.000456369963004434,45.6369963004434,0.13554667862323
"SSP5","East Asia & Pacific",2080,"55-59","Male",9976.3822038367,64217.4788639501,54124800,20,0.000184321830359405,18.4321830359405,0.00118647050638432,118.647050638432,0.155353065556692
"SSP5","East Asia & Pacific",2080,"60-64","Female",7941.02691252001,49527.6526818278,64798000,20,0.000122550494035619,12.2550494035619,0.000764339218522605,76.4339218522605,0.160335216440283
"SSP5","East Asia & Pacific",2080,"60-64","Male",25673.1241876107,147194.665627325,70467400,20,0.000364326258491313,36.4326258491313,0.0020888334978632,208.88334978632,0.174416131713708
"SSP5","East Asia & Pacific",2080,"65-69","Female",16217.8230113676,94600.1823870725,67294900,20,0.000240996316383078,24.0996316383078,0.001405755597929,140.5755597929,0.171435430695151
"SSP5","East Asia & Pacific",2080,"65-69","Male",44023.7999779145,251174.11819204,73304500,20,0.000600560674691384,60.0560674691384,0.00342644882909017,342.644882909017,0.175272039550887
"SSP5","East Asia & Pacific",2080,"70-74","Female",36446.7929380721,190906.466683445,62699600,20,0.000581292272009264,58.1292272009264,0.00304477965861735,304.477965861735,0.19091439683134
"SSP5","East Asia & Pacific",2080,"70-74","Male",82628.3007419573,442865.458086613,67233000,20,0.0012289842895893,122.89842895893,0.00658702509313303,658.702509313303,0.186576530711947
"SSP5","East Asia & Pacific",2080,"75-79","Female",70963.1480597338,372936.467310178,57759800,20,0.00122859061249751,122.859061249751,0.00645667864691669,645.667864691669,0.190282137253991
"SSP5","East Asia & Pacific",2080,"75-79","Male",136745.404342731,764022.238960964,59694500,20,0.00229075382728277,229.075382728277,0.0127988715704288,1279.88715704288,0.178980921456814
"SSP5","East Asia & Pacific",2080,"80-84","Female",159505.791047039,746862.081171712,55806600,20,0.0028581886559482,285.81886559482,0.0133830421701324,1338.30421701324,0.213567933180914
"SSP5","East Asia & Pacific",2080,"80-84","Male",226096.940396813,1207009.6781519,54013400,20,0.00418594164405154,418.594164405154,0.0223464858378087,2234.64858378087,0.187319906782355
"SSP5","East Asia & Pacific",2080,"85-89","Female",418400.001145187,1692959.99790658,56892000,20,0.00735428533265112,735.428533265112,0.0297574351034693,2975.74351034693,0.247141102957281
"SSP5","East Asia & Pacific",2080,"85-89","Male",551036.325640003,2552755.24365681,49423700,20,0.0111492325673716,1114.92325673716,0.0516504277028391,5165.04277028391,0.215859443246367
"SSP5","East Asia & Pacific",2080,"90-94","Female",701972.076048996,2832060.18186405,48826100,20,0.0143769843597788,1437.69843597788,0.0580029980249099,5800.29980249099,0.24786622845951
"SSP5","East Asia & Pacific",2080,"90-94","Male",715856.975728763,3321589.26341088,35185800,20,0.0203450532808338,2034.50532808338,0.0944014137353956,9440.14137353956,0.215516404636274
"SSP5","East Asia & Pacific",2080,"95+","Female",965506.384711303,4513417.7057623,25506700,20,0.0378530497756003,3785.30497756003,0.176950279956337,17695.0279956337,0.213919129062359
"SSP5","East Asia & Pacific",2080,"95+","Male",606287.313732515,3222903.06000362,13246301,20,0.0457703108009183,4577.03108009183,0.243305890452257,24330.5890452257,0.188118383471278
"SSP5","East Asia & Pacific",2085,"0-4","Female",18.3361753845014,2362.78384517742,19466200,20,9.41949398675724e-07,0.0941949398675724,0.000121378792223311,12.1378792223311,0.00776041169484317
"SSP5","East Asia & Pacific",2085,"0-4","Male",26.7950926738977,4377.4285101865,20681600,20,1.29560056639224e-06,0.129560056639224,0.000211658116885855,21.1658116885855,0.00612119480913146
"SSP5","East Asia & Pacific",2085,"5-9","Female",1.08390026429931,45.7387236081886,1184900,8,9.14760962359107e-07,0.0914760962359107,3.86013364910023e-05,3.86013364910023,0.0236976500171783
"SSP5","East Asia & Pacific",2085,"5-9","Male",1.65459066295416,78.9071594505207,14221200,11,1.16346768412944e-07,0.0116346768412944,5.54855845150344e-06,0.554855845150344,0.0209688281073112
"SSP5","East Asia & Pacific",2085,"10-14","Female",7.44951223702935,262.523896667809,22569500,20,3.30069883560971e-07,0.0330069883560971,1.16317994048521e-05,1.16317994048521,0.0283765109827535
"SSP5","East Asia & Pacific",2085,"10-14","Male",11.4327830839378,575.22829224568,23968900,20,4.76984053666953e-07,0.0476984053666953,2.39989441420207e-05,2.39989441420207,0.0198752099610825
"SSP5","East Asia & Pacific",2085,"15-19","Female",6.32982352147002,162.670576277456,23908000,20,2.64757550672161e-07,0.0264757550672161,6.80402276549508e-06,0.680402276549508,0.0389119142891193
"SSP5","East Asia & Pacific",2085,"15-19","Male",13.7649644535624,485.15292600077,25369900,20,5.42570702035185e-07,0.0542570702035185,1.9123170607719e-05,1.9123170607719,0.0283724238603079
"SSP5","East Asia & Pacific",2085,"20-24","Female",21.3823938434087,614.690009084131,25633200,20,8.34167947950653e-07,0.0834167947950653,2.39802291202086e-05,2.39802291202086,0.0347856537887573
"SSP5","East Asia & Pacific",2085,"20-24","Male",70.4018509958153,2442.06543122051,27203500,20,2.58797033454575e-06,0.258797033454575,8.97702660032905e-05,8.97702660032905,0.0288288143699038
"SSP5","East Asia & Pacific",2085,"25-29","Female",68.0897233324397,583.048822756894,28131700,20,2.42039134970299e-06,0.242039134970299,2.07256874898031e-05,2.07256874898031,0.116782198462358
